0,1,2,3,4,5,6,7,8,9,10,11,12
Islamabad Campus,,,,,,,,,,,,
,,Professor,,,Associate,,,Assistant,,,Lecturer,
Department,,,,,Professor,,,Professor,,,,
,Male,,Female,Male,,Female,Male,,Female,Male,,Female
Artificial Intelligence and Data Science,4,,-,1,,-,3,,1,7,,9
Computer Engineering,1,,-,-,,-,3,,-,-,,1
Computer Science,4,,-,3,,2,5,,6,11,,9
Cyber Security,1,,-,2,,-,2,,1,2,,2
Electrical Engineering,2,,-,1,,-,7,,-,2,,2
Management Sciences,2,,1,2,,-,12,,5,9,,5
Sciences & Humanities,3,,-,1,,1,2,,8,5,,10
Software Engineering,1,,-,1,,-,3,,4,5,,4
Total,18,,1,11,,3,37,,25,41,,42
,,19,,,14,,,62,,,83,
